value,count
air-alias-scope-arg(0),305755
air.arg_type_name,272801
air.arg_name,270285
air.location_index,234699
air.arg_type_align_size,172136
air.arg_type_size,172133
air.buffer,171765
air.read_write,165893
air.address_space,136449
wchar_size,129322
air.compile.denorms_disable,129322
air.compile.fast_math_enable,129322
Apple metal version 32023.883 (metalfe-32023.883),129322
Metal,129322
SDK Version,129319
frame-pointer,129319
omnipotent char,122963
Simple C++ TBAA,122963
air.compile.framebuffer_fetch_enable,117293
air.max_device_buffers,113575
air.max_constant_buffers,113575
air.max_threadgroup_buffers,113575
air.max_textures,113575
air.max_read_write_textures,113575
air.max_samplers,113575
float,95350
out,82500
int,67725
uint,59942
air-alias-scope-arg(1),51338
air-alias-scopes(k),45699
air.texture,44163
o,41124
inp,30816
air-alias-scope-textures,29629
tex,28794
air.sample,23535
air.read,23028
float4,22775
air.arg_unused,19419
bool,16819
sampler,15999
air.sampler,15843
air-alias-scope-arg(2),15630
s,15255
short,14980
air-alias-scope-samplers,14495
half,12976
air.compile.framebuffer_fetch_disable,12029
air.thread_position_in_grid,10810
id,10004
air.fragment_input,6411
air.write,5652
air.vertex_output,5225
ushort,5138
char,5136
uchar,5136
air.struct_type_info,4853
"texture2d<float, sample>",4765
air.render_target,4182
float2,3546
air.no_perspective,3346
float3,3306
fc_bool,3120
fc_int,3120
air.thread_index_in_threadgroup,3092
t,2873
position,2775
half4,2687
air.perspective,2660
air.center,2462
half3,2354
"texture2d<float, read>",2302
air.position,2234
air.vertex_input,2186
d,2184
half2,2140
int3,2140
uint3,2140
tid,2062
"texture3d<float, read>",1970
int4,1927
int2,1926
uint2,1926
uint4,1926
b,1889
"texturecube<float, sample>",1874
AddressBox,1872
any pointer,1812
air.centroid,1772
"texture2d<half, sample>",1712
Dwarf Version,1694
Debug Info Version,1694
"texture2d<float, write>",1662
uout,1642
air.depth,1638
air.depth_qualifier,1638
air.thread_index_in_simdgroup,1600
lane,1600
"texture2d_array<float, read>",1542
"texture2d<int, sample>",1498
"texture2d<uint, sample>",1498
air.buffer_size,1482
generated(4v_cpDv4_f),1432
v_cp,1432
generated(5v_cnpDv4_f),1432
v_cnp,1432
generated(5v_ctpDv4_f),1432
v_ctp,1432
generated(6v_ctnpDv4_f),1432
v_ctnp,1432
generated(4v_spDv4_f),1432
v_sp,1432
generated(5v_snpDv4_f),1432
v_snp,1432
"texture3d<float, sample>",1328
"texture1d<float, read>",1328
metal::_atomic,1248
__s,1248
data,1244
"depth2d<float, sample>",1232
value,1170
generated(6v_flatDv4_f),1092
v_flat,1092
user(uid),1092
v_user,1092
air.flat,1092
dev,1092
con,1092
tg,1092
a,1031
lid,1030
"texture2d_ms<float, read>",1018
c,955
air.indirect_argument,936
"texture3d<float, write>",901
"texturecube<float, read>",806
air.point_size,760
packed_float3,756
smp,744
width,722
height,722
"texture1d<float, write>",687
"texture1d<float, sample>",686
p,644
"texture2d<int, read>",642
"texture2d<uint, read>",642
"texture3d<half, sample>",642
"texture3d<int, sample>",642
"texture3d<uint, sample>",642
"texturecube<half, sample>",642
"texturecube<int, sample>",642
"texturecube<uint, sample>",642
counter,624
icounter,624
uv,550
air.sampler_state,548
early_fragment_tests,547
v_ps,546
normal,546
color,546
Uniforms,546
u,546
float4x4,546
mvp,546
c0,546
c1,546
c2,546
c3,546
air.any,546
air.greater,546
air.less,546
_ZTS10AddressBox,546
ms,546
__metal_texture_2d_t,544
air.visible_output,520
air.visible_input,520
v,520
"texture2d_array<float, write>",473
t0,472
"texture1d_array<float, sample>",472
t1,472
t2,472
"texture2d_array<float, sample>",472
t3,472
t4,472
t5,472
"texturecube_array<float, sample>",472
t6,472
t7,472
"texture_buffer<float, read>",472
t8,472
t9,472
"depth2d_array<float, sample>",472
t10,472
"depthcube<float, sample>",472
t11,472
"depthcube_array<float, sample>",472
t12,472
t13,472
t14,472
t15,472
t16,472
t17,472
t18,472
t19,472
t20,472
"texture1d<float, read_write>",472
t21,472
"texture2d<float, read_write>",472
t22,472
"texture2d_array<float, read_write>",472
t23,472
"texture3d<float, read_write>",472
t24,472
air-alias-scopes(atomics_all),468
air-alias-scopes(address_spaces_extended_all),468
air-alias-scope-arg(3),468
_ZTSN5metal7samplerE,466
__metal_sampler_t,466
air-alias-scopes(probe_min),440
air-alias-scopes(headers_only),440
air-alias-scopes(linkage_dump_a),434
air-alias-scopes(linkage_dump_b),434
"texture2d<half, read>",428
"texture1d<half, read>",428
"texture1d<int, read>",428
"texture1d<uint, read>",428
"texture3d<half, read>",428
"texture3d<int, read>",428
"texture3d<uint, read>",428
NestedLayout,406
flags,406
values,406
scratch,406
llvm.loop.mustprogress,392
air-alias-scope-arg(4),392
air-alias-scopes(io_dump_vertex),390
air-alias-scopes(operators_swizzles_all),390
air-alias-scopes(texture_depth_cube_ms),390
air-alias-scopes(texture_read),390
air-alias-scopes(texture_sample),390
air-alias-scopes(texture_write),390
count,368
air-alias-scopes(builtins_all),360
fout,352
